model_id,lema,jawaban_model,kunci_hadir,sim_definisi,persentil_vs_lantai,sim_kunci_maks,peringkat_dalam_lema,vonis_penutur,latency_ms,biaya_usd,tokens_in,tokens_out
deepseek-v4-flash,Ageman,Ageman berarti pakaian atau busana yang dikenakan.,1,0.7056,0.9994,0.7544,2,,3597,2.52e-05,31,97
deepseek-v4-flash,Anduweni,"Anduweni berarti ""memiliki"" atau ""mempunyai"" dalam bahasa Indonesia.",1,0.3445,0.9485,0.7452,4,,1934,6.24e-05,32,208
deepseek-v4-flash,Badogan,Badogan artinya berbohong atau mengarang cerita (ngarang).,0,0.0781,0.2924,0.0372,4,,4380,4.5708e-05,31,243
deepseek-v4-flash,Biyayakan,"Biyayakan berarti ""biaya"" atau ""ongkos"" (dalam konteks membiayai/mengeluarkan uang untuk suatu keperluan).",0,0.1156,0.4352,0.2552,5,,7205,0.00014973,33,340
deepseek-v4-flash,Biyuh,"Biyuh artinya ""aduh"" atau ""waduh"", yaitu ungkapan terkejut, kaget, atau merasakan sakit.",1,0.6739,0.9987,0.3624,2,,2288,3.8642e-05,32,123
deepseek-v4-flash,Bladak,"Arti kata ""bladak"" dalam bahasa Indonesia adalah ""tiba-tiba"" atau ""mendadak"".",0,0.0643,0.2461,0.0632,3,,3914,2.8428e-05,31,147
deepseek-v4-flash,Coeg,"Coeg adalah kata umpatan atau makian kasar dalam bahasa Jawa (terutama Jawa Timur) yang merujuk pada alat kelamin laki-laki, setara dengan ""kontol"" atau ""cuk"" dalam bahasa Indonesia.",1,0.3615,0.959,0.2419,2,,5986,4.776422e-05,31,198
deepseek-v4-flash,dadi'ne,Jadinya (atau akibatnya/maka dari itu).,1,0.2989,0.9076,0.9989,3,,4423,4.2e-05,33,171
deepseek-v4-flash,Dangak,Dangak artinya menengadah atau mendongak (melihat ke atas).,1,0.2793,0.8825,0.6684,2,,15857,2.4036e-05,32,125
deepseek-v4-flash,Gakpati,"""Tidak terlalu"" atau ""tidak begitu"" (menyatakan kadar/tingkatan), atau secara harfiah berarti ""tidak mati"".",1,0.4463,0.9848,0.6575,1,,6027,6.0836e-05,33,329
deepseek-v4-flash,Geluduk,Geluduk artinya guntur (suara menggelegar dari langit).,1,0.2523,0.8378,0.477,2,,4692,4.888282e-05,31,203
deepseek-v4-flash,Gendakan,Gendakan artinya berpacaran atau menjalin hubungan asmara.,1,0.5893,0.9971,0.399,1,,4198,3.136e-05,32,96
deepseek-v4-flash,Gondes,Gondes artinya preman atau berandal (tukang onar) dalam bahasa Indonesia.,0,0.2137,0.7505,0.0829,4,,8822,0.00010206,31,349
deepseek-v4-flash,Gremet,"Arti kata ""gremet"" adalah berbutir-butir halus atau terasa kasar seperti pasir.",0,0.341,0.9468,0.1783,3,,3524,3.976e-05,32,126
deepseek-v4-flash,Kacariyos,"Kacariyos artinya ""diceritakan"" atau ""tercerita"".",1,0.4472,0.9849,0.7857,1,,22582,5.2917e-05,33,150
deepseek-v4-flash,Kaleh,"Kaleh berarti ""dua"" dalam bahasa Jawa halus (krama), atau juga bisa berarti ""dengan/bersama"".",1,0.6831,0.9988,0.505,1,,8133,7.896e-05,31,337
deepseek-v4-flash,Kemecer,Kemecer berarti tumpah atau memercik (tentang air atau cairan).,0,0.1874,0.6761,0.1115,3,,7799,8.89e-05,31,302
deepseek-v4-flash,Kesawat,Kesawat artinya ketiak.,0,0.0994,0.3742,0.1554,5,,67517,2.954e-05,31,90
deepseek-v4-flash,Kesuen,"Kesuen artinya ""terlalu lama"" dalam bahasa Indonesia.",1,0.7028,0.9994,0.8962,1,,8945,7.966e-05,31,269
deepseek-v4-flash,klotekan,Suara ayam berkotek (bunyi “klotek” yang berulang-ulang).,0,0.1628,0.6007,0.4073,5,,6303,9.492e-05,32,323
deepseek-v4-flash,Kreak,Kreak berarti bunyi berderak atau retak (seperti suara benda patah atau suara burung gagak).,0,0.1221,0.4598,0.2994,3,,4591,9.5e-05,31,180
deepseek-v4-flash,Kupret,"Kupret berarti kotoran atau tahi, dan sering digunakan sebagai umpatan kasar untuk menyebut orang yang menjijikkan atau hina.",1,0.6873,0.9992,0.5271,1,,4620,3.934e-05,31,125
deepseek-v4-flash,Leksanani,"Arti kata ""leksanani"" adalah ""laksanakanlah"" atau ""kerjakanlah"".",0,0.5683,0.9963,0.5139,1,,3436,5.3237e-05,33,151
deepseek-v4-flash,Lidis,"Arti kata ""lidis"" dalam bahasa Indonesia adalah rambut.",0,0.1073,0.4044,0.0722,5,,3932,3.5167e-05,31,111
deepseek-v4-flash,Manahipun,Manahipun artinya “hatinya” dalam bahasa Indonesia.,1,0.1303,0.4901,0.785,3,,2894,3.612e-05,118,70
deepseek-v4-flash,Mleding,Mleding berarti pecah atau meletus (seperti balon yang meledak).,0,0.062,0.2377,0.147,5,,9562,3.5571872e-05,32,131
deepseek-v4-flash,Ndaut,"Ndaut artinya ""cepat"" atau ""segera"" dalam bahasa Indonesia.",0,0.2125,0.7463,0.1313,4,,6037,8.302e-05,31,281
deepseek-v4-flash,Ndlogok,Ndlogok berarti duduk santai sambil berselonjor atau duduk malas-malasan tanpa tujuan.,0,0.2211,0.7704,0.1161,3,,4172,9.88e-05,32,338
deepseek-v4-flash,ndusel,Ndusel berarti menggosok atau mengusap (biasanya untuk membersihkan atau mengelap).,0,0.2766,0.8786,0.4292,4,,6936,8.747452e-05,32,375
deepseek-v4-flash,Ngeliwet,Ngeliwet berarti memasak nasi liwet (nasi yang dimasak dengan santan dan lauk) secara bersama-sama untuk dimakan ramai-ramai.,1,0.8172,1.0,0.6303,1,,13338,5.1216e-05,32,276
deepseek-v4-flash,Ngleketer,"Arti kata ""ngleketer"" adalah menggigil atau gemetar (biasanya karena demam, kedinginan, atau ketakutan).",0,0.2412,0.8156,0.231,4,,3644,4.298e-05,33,137
