model,set,tugas,penilai,rumusan,ulangan,versi_soal,versi_kunci,benar,benar_bobot,n_dinilai,n_item,skor,benar_tertahan,n_dinilai_tertahan,skor_tertahan,biaya_usd,tokens_in,tokens_out,latensi_median_ms,parsial,tanpa_skor,menunggu_vonis,beku,cap_token,dijalankan_pada,waktu_pasti
claude-haiku-4.5,jv-B,arti-kata,kunci-alias-v1,arti-kata-v1,1,4e682041d284,873b6f168502,82,,135,135,0.6074,0,0,,0.0251450000,,,1662,0,0,0,1,,2026-08-14T18:27:26+07:00,0
claude-haiku-4.5,jv-B,arti-kata,kunci-alias-v1,arti-kata-v1,1,a7ba9fa24e64,873b6f168502,86,,135,135,0.637,41,64,0.6406,0.0371060000,9041,5613,1635,0,0,0,0,600,2026-08-16T21:18:34+0700,1
deepseek-v4-flash-0731,jv-B,arti-kata,kunci-alias-v1,arti-kata-v1,2,4e682041d284,873b6f168502,110,,135,135,0.8148,0,0,,0.0064652386,,,6361,0,0,0,1,4000,2026-08-13T01:04:18+0700,1
deepseek-v4-flash-0731,jv-B,arti-kata,kunci-alias-v1,arti-kata-v1,3,4e682041d284,873b6f168502,110,,135,135,0.8148,0,0,,0.0067447092,,,4636,0,0,0,1,4000,2026-08-13T00:59:07+0700,1
deepseek-v4-flash-0731,jv-B,arti-kata,kunci-alias-v1,arti-kata-v1,1,4e682041d284,873b6f168502,110,,135,135,0.8148,0,0,,0.0061266006,,,3933,0,0,0,1,,2026-08-14T18:27:26+07:00,0
deepseek-v4-flash-0731,jv-B,arti-kata,kunci-alias-v1,arti-kata-v1,1,a7ba9fa24e64,873b6f168502,107,,135,135,0.7926,49,64,0.7656,0.0084764019,6313,36231,3123,0,0,0,0,3000,2026-08-16T21:32:36+0700,1
gemini-3.5-flash,jv-B,arti-kata,kunci-alias-v1,arti-kata-v1,1,4e682041d284,873b6f168502,127,,135,135,0.9407,0,0,,0.3679860000,,,2988,0,0,0,1,,2026-08-14T18:27:26+07:00,0
gemini-3.5-flash,jv-B,arti-kata,kunci-alias-v1,arti-kata-v1,1,a7ba9fa24e64,873b6f168502,128,,135,135,0.9481,58,64,0.9062,0.5552055000,4437,60950,2711,0,0,0,0,600,2026-08-16T21:55:30+0700,1
gemma-4-31b,jv-B,arti-kata,kunci-alias-v1,arti-kata-v1,1,4e682041d284,873b6f168502,113,,135,135,0.837,0,0,,0.0018014700,,,1580,0,0,0,1,,2026-08-14T18:27:26+07:00,0
gemma-4-31b,jv-B,arti-kata,kunci-alias-v1,arti-kata-v1,2,4e682041d284,873b6f168502,115,,135,135,0.8519,0,0,,0.0014128000,,,1596,0,0,0,1,600,2026-08-12T22:57:02+0700,1
gemma-4-31b,jv-B,arti-kata,kunci-alias-v1,arti-kata-v1,3,4e682041d284,873b6f168502,116,,135,135,0.8593,0,0,,0.0020982300,,,1305,0,0,0,1,600,2026-08-13T00:10:35+0700,1
gemma-4-31b,jv-B,arti-kata,kunci-alias-v1,arti-kata-v1,1,a7ba9fa24e64,873b6f168502,116,,135,135,0.8593,51,64,0.7969,0.0020841400,7027,3431,1063,0,0,0,0,600,2026-08-16T20:35:03+0700,1
gpt-5.6-luna,jv-B,arti-kata,kunci-alias-v1,arti-kata-v1,1,4e682041d284,873b6f168502,116,,135,135,0.8593,0,0,,0.0056392000,,,1682,0,0,0,1,,2026-08-14T18:27:26+07:00,0
gpt-5.6-luna,jv-B,arti-kata,kunci-alias-v1,arti-kata-v1,2,4e682041d284,873b6f168502,121,,135,135,0.8963,0,0,,0.0054298000,,,1381,0,0,0,1,600,2026-08-12T22:46:24+0700,1
gpt-5.6-luna,jv-B,arti-kata,kunci-alias-v1,arti-kata-v1,3,4e682041d284,873b6f168502,119,,135,135,0.8815,0,0,,0.0062076000,,,1990,0,0,0,1,600,2026-08-13T00:00:45+0700,1
gpt-5.6-luna,jv-B,arti-kata,kunci-alias-v1,arti-kata-v1,1,a7ba9fa24e64,873b6f168502,112,,135,135,0.8296,53,64,0.8281,0.0083825000,6029,12966,1438,0,0,0,0,600,2026-08-16T20:50:55+0700,1
hunyuan-a13b,jv-B,arti-kata,kunci-alias-v1,arti-kata-v1,1,4e682041d284,873b6f168502,21,,135,135,0.1556,0,0,,0.0026550000,,,1731,0,0,0,1,1000,2026-08-12T22:28:43+0700,1
hunyuan-a13b,jv-B,arti-kata,kunci-alias-v1,arti-kata-v1,1,a7ba9fa24e64,873b6f168502,21,,135,135,0.1556,12,64,0.1875,0.0038826200,7669,4928,1747,0,0,0,0,600,2026-08-16T20:42:42+0700,1
ling-3.0-flash,jv-B,arti-kata,kunci-alias-v1,arti-kata-v1,1,4e682041d284,873b6f168502,69,,135,135,0.5111,0,0,,0.0015792120,,,1205,0,0,0,1,1000,2026-08-12T22:22:00+0700,1
ling-3.0-flash,jv-B,arti-kata,kunci-alias-v1,arti-kata-v1,1,a7ba9fa24e64,873b6f168502,69,,135,135,0.5111,27,64,0.4219,0.0034642050,10649,27904,1390,0,0,0,0,600,2026-08-16T21:10:04+0700,1
llama-3-1-8b-q4km-local,jv-B,arti-kata,kunci-alias-v1,arti-kata-v1,1,4e682041d284,873b6f168502,26,,135,135,0.1926,0,0,,,5477,2014,538,0,0,0,1,600,2026-08-15T16:40:03+0700,1
llama-3-1-8b-q4km-local,jv-B,arti-kata,kunci-alias-v1,arti-kata-v1,1,a7ba9fa24e64,873b6f168502,26,,135,135,0.1926,11,64,0.1719,,8062,2910,532,0,0,0,0,600,2026-08-16T22:11:39+0700,1
mistral-small-3-2501,jv-B,arti-kata,kunci-alias-v1,arti-kata-v1,1,4e682041d284,873b6f168502,21,,135,135,0.1556,0,0,,0.0014690400,,,803,0,0,0,1,,2026-08-14T18:27:26+07:00,0
mistral-small-3-2501,jv-B,arti-kata,kunci-alias-v1,arti-kata-v1,1,a7ba9fa24e64,873b6f168502,25,,135,135,0.1852,6,64,0.0938,0.0021656200,37698,3509,843,0,0,0,0,600,2026-08-16T20:12:53+0700,1
nemotron-3.5-lightning,jv-B,arti-kata,kunci-alias-v1,arti-kata-v1,1,4e682041d284,873b6f168502,26,,135,135,0.1926,0,0,,0.0243505500,,,2383,0,0,0,1,8000,2026-08-12T21:28:25+0700,1
nemotron-3.5-lightning,jv-B,arti-kata,kunci-alias-v1,arti-kata-v1,1,a7ba9fa24e64,873b6f168502,25,,135,135,0.1852,9,64,0.1406,0.0367568900,8445,155249,3088,0,0,0,0,3000,2026-08-16T21:44:06+0700,1
qwen3-30b-a3b-2507,jv-B,arti-kata,kunci-alias-v1,arti-kata-v1,1,4e682041d284,873b6f168502,50,,135,135,0.3704,0,0,,0.0009109801,,,820,0,0,0,1,1000,2026-08-12T22:15:45+0700,1
qwen3-30b-a3b-2507,jv-B,arti-kata,kunci-alias-v1,arti-kata-v1,1,a7ba9fa24e64,873b6f168502,51,,135,135,0.3778,23,64,0.3594,0.0014614437,7669,3100,816,0,0,0,0,600,2026-08-16T19:57:21+0700,1
sahabatai-1-llama3-q4km-local,jv-B,arti-kata,kunci-alias-v1,arti-kata-v1,1,4e682041d284,873b6f168502,62,,135,135,0.4593,0,0,,,5477,2925,516,0,0,0,1,600,2026-08-15T00:56:44+0700,1
sahabatai-1-llama3-q4km-local,jv-B,arti-kata,kunci-alias-v1,arti-kata-v1,1,a7ba9fa24e64,873b6f168502,61,,135,135,0.4519,27,64,0.4219,,8062,3281,528,0,0,0,0,600,2026-08-16T22:08:45+0700,1
